stem,day,lvl,before,after,sat,amp_med,err
20260722_204819,20260722,147.7,8.364,3.805,2,3.415,
20260722_205344,20260722,149.3,9.953,4.749,2,3.415,
20260722_205909,20260722,151.3,7.618,3.958,2,3.415,
20260722_210436,20260722,150.3,12.658,7.163,2,3.415,
20260722_211001,20260722,155.3,0.83,-1.401,2,3.415,
20260722_211526,20260722,154.3,3.632,0.675,2,3.397,
20260722_212054,20260722,163.7,0.496,-0.83,3,2.508,
20260722_212619,20260722,165.3,3.005,0.148,3,3.415,
20260722_213144,20260722,164.0,14.044,8.271,3,3.415,
20260722_213712,20260722,155.0,8.801,3.366,2,3.415,
20260722_214237,20260722,153.0,-4.32,-4.316,2,2.093,
20260722_214802,20260722,151.3,24.589,19.582,3,3.415,
20260722_215329,20260722,155.3,13.975,8.198,2,3.415,
20260722_215854,20260722,160.0,8.928,4.138,3,3.415,
20260722_220419,20260722,146.7,11.027,4.957,3,3.415,
20260722_220946,20260722,146.7,4.726,0.715,3,3.415,
20260722_221511,20260722,150.0,8.051,3.219,3,3.415,
20260722_222036,20260722,154.0,30.908,26.256,3,3.415,
20260722_222603,20260722,154.0,10.733,4.905,3,3.415,
20260722_223128,20260722,162.0,-1.35,-1.869,4,3.13,
20260722_223653,20260722,158.3,2.219,-0.756,3,2.916,
20260722_224220,20260722,157.3,-10.09,-10.089,3,2.546,
20260722_224745,20260722,158.3,4.371,1.682,4,3.13,
20260722_225310,20260722,156.0,6.058,0.656,3,3.415,
20260722_225837,20260722,156.3,6.572,1.748,5,2.546,
20260722_230402,20260722,156.0,11.755,5.68,3,3.415,
20260722_230927,20260722,154.7,-22.204,-22.214,4,2.293,
20260722_231454,20260722,157.7,5.588,0.557,4,3.113,
20260722_231649,20260722,155.7,2.148,0.408,5,2.546,
20260722_231933,20260722,154.3,6.541,1.703,5,2.546,
20260722_232217,20260722,156.0,4.414,0.181,3,2.558,
20260722_232502,20260722,156.7,0.585,-1.375,3,2.656,
20260722_232746,20260722,155.7,26.007,20.272,3,3.415,
20260722_233030,20260722,157.0,11.74,4.367,3,3.415,
20260722_233314,20260722,155.0,-12.964,-12.964,3,2.293,
20260722_233609,20260722,157.0,10.462,3.701,3,3.415,
20260722_233854,20260722,155.0,-0.967,-2.285,3,2.508,
20260722_234138,20260722,156.3,-5.387,-5.345,5,2.546,
20260722_234422,20260722,157.0,-14.733,-14.735,5,2.546,
20260722_234706,20260722,156.3,12.034,5.499,4,3.13,
20260722_234951,20260722,156.7,4.622,1.164,5,2.546,
20260722_235235,20260722,154.3,11.989,7.764,4,3.13,
20260722_235519,20260722,154.7,-8.587,-8.586,3,2.111,
20260722_235804,20260722,153.7,4.188,1.65,3,2.941,
20260723_000048,20260723,151.3,-2.608,-2.735,3,1.858,
20260723_000332,20260723,146.7,-7.253,-7.832,1,1.873,
20260723_000617,20260723,143.7,15.154,12.347,1,2.403,
20260723_000901,20260723,143.3,2.794,1.602,1,2.403,
20260723_001145,20260723,141.3,5.203,2.759,1,2.403,
20260723_001430,20260723,135.3,-49.201,-49.201,1,1.671,
20260723_001714,20260723,132.7,16.941,14.144,1,2.403,
20260723_001959,20260723,128.7,9.672,6.696,1,2.403,
20260723_002243,20260723,126.3,-21.768,-21.764,1,1.321,
20260723_002528,20260723,120.7,0.144,-1.393,0,2.309,
20260723_002827,20260723,117.7,13.513,10.427,0,2.506,
20260723_003112,20260723,113.0,-11.366,-11.37,1,1.671,
20260723_003356,20260723,110.7,14.155,12.134,0,2.506,
20260723_003641,20260723,106.3,12.72,11.565,0,2.506,
20260723_003925,20260723,101.3,12.942,11.283,0,2.506,
20260723_004210,20260723,96.7,-18.86,-18.86,0,1.378,
20260723_004454,20260723,84.3,7.272,5.326,0,2.506,
20260723_004739,20260723,83.0,8.317,6.774,0,2.506,
20260723_005024,20260723,70.3,10.584,8.61,0,2.506,
20260723_005309,20260723,53.0,-0.958,-1.437,0,2.506,
20260723_005553,20260723,41.3,-7.473,-7.468,0,2.506,
20260723_005838,20260723,29.3,39.831,39.444,0,2.506,
20260723_010122,20260723,20.7,-7.386,-7.594,0,2.403,
20260723_010540,20260723,10.3,15.015,13.845,0,2.506,
20260723_011104,20260723,0.3,-63.231,-63.231,0,2.506,
20260723_011704,20260723,0.0,nan,nan,0,2.506,
20260723_012230,20260723,0.0,nan,nan,0,2.506,
20260723_012753,20260723,0.0,nan,nan,0,2.506,
20260723_013317,20260723,0.0,nan,nan,0,2.506,
20260723_013843,20260723,0.0,nan,nan,0,2.506,
20260723_091650,20260723,0.0,nan,nan,0,2.506,
20260723_092214,20260723,0.0,nan,nan,0,2.506,
20260723_092740,20260723,0.0,nan,nan,0,2.506,
20260723_093304,20260723,0.0,nan,nan,0,2.506,
20260723_093828,20260723,0.0,14.327,14.327,0,2.506,
20260723_094354,20260723,2.0,6.274,6.275,0,2.506,
20260723_094918,20260723,18.0,5.302,4.801,0,2.506,
20260723_094956,20260723,17.7,6.859,6.356,0,2.506,
20260723_095241,20260723,31.0,5.643,5.639,0,2.506,
20260723_095525,20260723,44.0,5.815,3.668,0,2.506,
20260723_095810,20260723,62.7,4.147,3.244,0,2.506,
20260723_100054,20260723,80.3,4.126,2.819,0,2.506,
20260723_100339,20260723,92.7,4.117,2.379,0,2.506,
20260723_100623,20260723,103.3,3.96,2.152,0,2.506,
20260723_100908,20260723,113.0,4.301,1.595,0,2.506,
20260723_101153,20260723,117.0,4.504,2.056,0,2.506,
20260723_101437,20260723,122.3,3.268,1.983,1,2.403,
20260723_101721,20260723,130.0,3.37,1.712,1,2.403,
20260723_102006,20260723,136.7,3.627,1.432,1,2.403,
20260723_102250,20260723,142.0,3.802,1.322,1,2.403,
20260723_102534,20260723,146.7,2.51,1.17,1,2.403,
20260723_102819,20260723,150.7,2.822,1.127,1,2.403,
20260723_103103,20260723,153.0,2.902,0.489,1,2.309,
20260723_103347,20260723,155.0,3.79,1.217,1,2.403,
20260723_103644,20260723,156.3,4.525,1.936,1,2.403,
20260723_103928,20260723,157.0,3.976,0.716,1,2.403,
20260723_104213,20260723,157.7,3.666,0.387,1,2.403,
20260723_104457,20260723,156.0,2.266,0.217,1,2.403,
20260723_104741,20260723,155.7,1.333,-0.378,1,2.309,
20260723_105025,20260723,155.7,0.339,-0.394,2,1.956,
20260723_105309,20260723,156.0,-0.615,-1.488,2,1.861,
20260723_105553,20260723,155.3,-1.019,-1.669,2,1.735,
20260723_105837,20260723,157.0,-1.582,-1.719,2,1.929,
20260723_110121,20260723,156.7,-0.81,-1.532,2,1.982,
20260723_110405,20260723,156.3,-0.302,-1.576,2,1.954,
20260723_110649,20260723,157.3,-1.169,-1.276,2,1.939,
20260723_110933,20260723,157.0,-0.453,-1.1,2,1.982,
20260723_111217,20260723,156.7,-1.203,-1.735,2,1.747,
20260723_111501,20260723,157.0,-1.384,-1.957,2,1.887,
20260723_111746,20260723,156.0,-1.0,-1.422,1,2.174,
20260723_112030,20260723,154.7,-2.929,-3.3,1,1.576,
20260723_112314,20260723,155.3,-2.356,-2.761,1,1.833,
20260723_112558,20260723,154.3,-0.977,-1.921,1,1.828,
20260723_112857,20260723,153.7,-1.862,-2.053,1,1.614,
20260723_113141,20260723,155.0,-1.373,-2.169,1,1.763,
20260723_113425,20260723,153.3,-2.102,-2.491,1,1.933,
20260723_113709,20260723,152.3,-1.788,-2.207,1,1.695,
20260723_113909,20260723,153.0,-1.7,-2.119,1,1.792,
20260723_114434,20260723,154.0,-1.368,-2.457,1,1.933,
20260723_115001,20260723,153.3,-1.893,-2.252,1,1.549,
20260723_115527,20260723,152.3,-1.889,-2.522,1,1.76,
20260723_120052,20260723,153.3,-2.177,-2.796,1,1.904,
20260723_120620,20260723,152.3,1.748,1.157,1,2.403,
20260723_121145,20260723,151.7,2.556,0.179,1,2.403,
20260723_121711,20260723,149.0,2.539,0.522,1,2.403,
20260723_122239,20260723,148.0,3.176,1.833,1,2.403,
20260723_122804,20260723,144.3,2.174,1.011,0,2.403,
20260723_123330,20260723,144.0,3.115,1.477,0,2.403,
20260723_123857,20260723,143.7,3.21,1.574,0,2.403,
20260723_124423,20260723,144.3,3.817,1.694,0,2.483,
20260723_124949,20260723,141.7,2.654,1.196,0,2.43,
20260723_125518,20260723,143.0,3.094,1.416,0,2.46,
20260723_130043,20260723,142.0,3.644,1.714,0,2.506,
20260723_130610,20260723,140.3,3.448,1.979,0,2.506,
20260723_131137,20260723,140.7,3.606,1.902,0,2.506,
20260723_131703,20260723,139.7,2.394,1.154,0,2.506,
20260723_132230,20260723,139.7,3.225,1.488,0,2.506,
20260723_132757,20260723,138.3,3.591,1.835,0,2.506,
20260723_133324,20260723,139.0,4.215,1.464,0,2.506,
20260723_133850,20260723,134.7,3.624,1.804,0,2.506,
20260723_134418,20260723,135.3,3.249,1.551,0,2.506,
20260723_134944,20260723,133.7,4.583,2.545,0,2.506,
20260723_135509,20260723,134.3,5.105,3.076,0,2.506,
20260723_140037,20260723,134.3,4.79,3.261,0,2.506,
20260723_140603,20260723,133.0,4.174,3.136,0,2.506,
20260723_141129,20260723,133.0,4.557,3.699,0,2.506,
20260723_141657,20260723,133.3,3.786,2.746,0,2.506,
20260723_142223,20260723,133.7,3.703,2.584,0,2.506,
20260723_142834,20260723,134.0,4.024,2.983,0,2.506,
20260723_143405,20260723,129.7,4.929,3.266,0,2.506,
20260723_143934,20260723,129.3,4.074,2.95,0,2.506,
20260723_144505,20260723,129.3,4.597,2.943,0,2.506,
20260723_145036,20260723,127.7,4.792,3.684,0,2.506,
20260723_145604,20260723,126.7,4.446,2.775,0,2.506,
20260723_150132,20260723,123.7,5.437,3.772,0,2.506,
20260723_150702,20260723,123.0,3.393,2.282,0,2.506,
20260723_151231,20260723,122.3,16.712,13.938,0,2.506,
20260723_151759,20260723,121.3,11.11,8.941,0,2.506,
20260723_152328,20260723,127.0,21.46,18.072,1,2.403,
20260723_152858,20260723,115.0,21.579,19.154,0,2.506,
20260723_153423,20260723,125.7,10.694,8.176,1,2.403,
20260723_153950,20260723,115.3,3.407,1.677,0,2.506,
20260723_154515,20260723,122.7,29.077,27.204,0,2.506,
20260723_155040,20260723,128.7,1.255,0.32,0,2.506,
20260723_155608,20260723,115.7,7.138,5.587,0,2.506,
20260723_160133,20260723,118.0,11.136,6.772,0,2.506,
20260723_160659,20260723,123.0,4.672,1.864,0,2.506,
20260723_161226,20260723,129.7,-36.004,-36.034,0,1.827,
20260723_161751,20260723,119.0,12.399,9.79,0,2.506,
20260723_162316,20260723,130.7,12.623,10.179,1,2.403,
20260723_162844,20260723,129.0,2.164,1.041,1,2.403,
20260723_163409,20260723,125.3,6.492,3.262,1,2.403,
20260723_163934,20260723,128.7,7.737,4.851,1,2.403,
20260723_164501,20260723,123.0,11.785,8.861,0,2.506,
20260723_165026,20260723,126.7,12.985,10.259,0,2.506,
20260723_165551,20260723,124.0,-13.386,-13.381,1,1.602,
20260723_170119,20260723,120.7,-21.334,-21.334,1,1.671,
20260723_170644,20260723,119.7,6.217,4.113,1,2.403,
20260723_171209,20260723,120.3,3.798,2.9,0,2.429,
20260723_171736,20260723,118.7,4.137,2.851,0,2.506,
20260723_172302,20260723,119.3,5.122,2.488,0,2.506,
20260723_172911,20260723,114.3,20.642,16.921,0,2.506,
20260723_173438,20260723,115.7,1.038,-0.175,0,2.243,
20260723_174003,20260723,114.3,3.54,1.075,0,2.506,
20260723_174533,20260723,116.7,25.771,22.47,0,2.506,
20260723_175101,20260723,115.3,-13.108,-13.111,1,1.671,
20260723_175627,20260723,114.0,33.668,31.954,1,2.403,
20260723_180152,20260723,118.0,17.603,15.52,1,2.403,
20260723_180720,20260723,113.3,19.343,16.92,0,2.506,
20260723_181245,20260723,115.7,3.257,1.535,0,2.506,
20260723_181810,20260723,111.7,16.156,13.999,0,2.506,
20260723_182338,20260723,113.0,-7.871,-7.891,0,1.671,
20260723_182903,20260723,111.7,37.438,34.607,0,2.506,
20260723_183429,20260723,116.3,-0.765,-0.29,1,1.454,
20260723_183956,20260723,118.7,8.665,7.01,1,2.403,
20260723_184521,20260723,120.3,4.921,3.77,0,2.506,
20260723_185052,20260723,115.7,4.632,3.702,0,2.506,
20260723_185619,20260723,115.0,4.189,3.225,0,2.506,
20260723_190144,20260723,115.0,4.408,3.376,0,2.506,
20260723_190714,20260723,116.0,12.551,9.625,0,2.506,
20260723_191242,20260723,113.7,5.513,3.766,0,2.506,
20260723_191808,20260723,111.3,26.847,24.46,0,2.506,
20260723_192334,20260723,110.3,7.317,4.147,0,2.506,
20260723_192901,20260723,118.3,3.517,1.593,0,2.506,
20260723_193427,20260723,119.3,7.601,5.712,0,2.506,
20260723_193952,20260723,120.7,3.85,2.793,0,2.403,
20260723_194525,20260723,121.3,5.868,4.321,0,2.506,
20260723_195051,20260723,120.7,3.215,1.674,0,2.441,
20260723_195616,20260723,123.0,4.317,1.947,0,2.506,
20260723_200144,20260723,124.0,5.655,3.013,0,2.506,
20260723_200709,20260723,120.7,4.372,2.455,0,2.506,
20260723_201235,20260723,121.7,16.476,13.28,0,2.506,
20260723_201802,20260723,119.7,8.886,6.308,0,2.506,
20260723_202327,20260723,125.3,19.527,16.57,0,2.506,
20260723_202936,20260723,124.7,4.831,2.265,0,2.506,
20260723_203503,20260723,125.7,3.507,2.478,0,2.506,
20260723_204028,20260723,126.7,5.247,3.596,0,2.506,
20260723_204554,20260723,127.0,5.828,4.125,0,2.506,
20260723_205121,20260723,129.7,3.822,2.403,0,2.506,
20260723_205646,20260723,130.3,4.712,3.297,0,2.506,
20260723_210211,20260723,131.3,3.983,1.841,0,2.506,
20260723_210739,20260723,134.0,3.79,2.176,0,2.506,
20260723_211304,20260723,133.7,3.945,2.048,0,2.506,
20260723_211829,20260723,139.3,4.679,1.878,0,2.506,
20260723_212356,20260723,137.7,3.344,2.037,0,2.506,
20260723_212921,20260723,139.3,3.178,1.674,0,2.506,
20260723_213448,20260723,139.3,3.903,1.626,0,2.403,
20260723_214015,20260723,140.7,2.944,0.953,0,2.425,
20260723_214540,20260723,140.0,4.963,2.648,0,2.506,
20260723_215105,20260723,140.7,4.122,1.881,0,2.506,
20260723_215633,20260723,142.0,3.724,1.771,0,2.506,
20260723_220158,20260723,143.7,4.532,1.847,0,2.506,
20260723_220723,20260723,146.7,5.264,2.453,0,2.506,
20260723_221250,20260723,147.0,5.786,2.751,0,2.506,
20260723_221815,20260723,147.3,5.023,2.467,0,2.506,
20260723_222340,20260723,148.7,5.306,2.352,0,2.403,
20260723_222908,20260723,152.0,3.752,1.114,1,2.403,
20260723_223433,20260723,153.0,5.533,2.099,1,2.403,
20260723_223958,20260723,154.7,2.75,0.819,1,2.403,
20260723_224526,20260723,155.0,3.136,1.003,1,2.403,
20260723_225050,20260723,157.0,3.62,1.825,1,2.403,
20260723_225616,20260723,157.0,3.739,0.811,1,2.403,
20260723_230143,20260723,157.3,4.936,1.024,1,2.403,
20260723_230708,20260723,157.0,4.037,0.906,1,2.403,
20260723_231233,20260723,157.7,2.781,0.595,1,2.403,
20260723_231557,20260723,158.3,3.665,0.607,1,2.403,
20260723_231841,20260723,159.3,4.735,1.564,1,2.403,
20260723_232126,20260723,160.3,4.076,1.338,1,2.403,
20260723_232410,20260723,159.3,3.901,0.739,1,2.403,
20260723_232654,20260723,160.3,4.148,0.617,1,2.403,
20260723_232938,20260723,160.7,4.691,1.398,1,2.403,
20260723_233223,20260723,160.3,5.596,1.907,1,2.403,
20260723_233507,20260723,160.7,5.47,1.858,1,2.403,
20260723_233751,20260723,160.7,5.778,2.259,1,2.403,
20260723_234035,20260723,160.3,4.961,1.79,1,2.403,
20260723_234320,20260723,160.7,5.092,1.569,1,2.403,
20260723_234604,20260723,160.7,4.664,1.711,1,2.403,
20260723_234848,20260723,161.0,5.071,1.788,1,2.403,
20260723_235132,20260723,159.7,4.986,1.285,1,2.403,
20260723_235416,20260723,159.7,4.738,0.493,1,2.403,
20260723_235701,20260723,160.0,5.05,1.241,1,2.403,
20260724_000000,20260724,160.0,4.865,-0.098,3,3.433,
20260724_000244,20260724,159.7,4.1,0.386,3,3.562,
20260724_000528,20260724,159.7,4.178,-0.064,3,3.562,
20260724_000813,20260724,160.0,4.182,0.266,3,3.553,
20260724_001057,20260724,159.7,4.316,-0.202,3,3.541,
20260724_001341,20260724,159.7,4.944,0.155,3,3.562,
20260724_001626,20260724,159.0,5.068,0.069,3,3.562,
20260724_001910,20260724,157.7,5.462,0.838,3,3.562,
20260724_002154,20260724,156.0,3.576,0.718,3,3.202,
20260724_002439,20260724,154.3,3.299,0.215,3,3.073,
20260724_002723,20260724,150.0,4.35,-0.235,3,3.321,
20260724_003007,20260724,144.3,3.918,0.376,3,3.447,
20260724_003252,20260724,138.0,4.432,1.241,2,3.562,
20260724_003536,20260724,131.0,4.272,1.576,2,3.562,
20260724_003821,20260724,121.7,4.857,1.806,1,3.562,
20260724_004105,20260724,117.0,4.744,0.926,1,3.562,
20260724_004350,20260724,112.3,4.669,1.528,1,3.562,
20260724_004634,20260724,100.7,5.308,2.47,0,3.562,
20260724_004919,20260724,91.3,5.31,2.206,0,3.562,
20260724_005204,20260724,81.7,6.128,3.938,0,3.562,
20260724_005448,20260724,66.3,5.019,3.174,0,3.562,
20260724_005733,20260724,50.3,5.677,3.533,0,3.562,
20260724_010018,20260724,35.0,7.655,5.992,0,3.562,
20260724_010330,20260724,19.0,6.901,4.808,0,3.562,
20260724_010856,20260724,4.0,9.145,7.552,0,3.562,
20260724_011457,20260724,0.0,10.949,10.949,0,3.562,
20260724_012021,20260724,0.0,nan,nan,0,3.562,
20260724_012548,20260724,0.0,nan,nan,0,3.562,
20260724_013112,20260724,0.0,nan,nan,0,3.562,
20260724_013635,20260724,0.0,nan,nan,0,3.562,
20260724_091452,20260724,0.0,nan,nan,0,3.562,
20260724_092016,20260724,0.0,nan,nan,0,3.562,
20260724_092540,20260724,0.0,nan,nan,0,3.562,
20260724_093105,20260724,0.0,nan,nan,0,3.562,
20260724_093629,20260724,0.0,nan,nan,0,3.562,
20260724_094153,20260724,0.0,11.801,11.801,0,3.562,
20260724_094720,20260724,5.7,6.366,4.419,0,3.562,
20260724_095122,20260724,18.3,6.31,3.58,0,3.562,
20260724_095406,20260724,30.7,3.752,2.522,0,3.562,
20260724_095651,20260724,44.0,4.467,3.069,0,3.562,
20260724_095936,20260724,62.0,2.618,0.631,0,3.562,
20260724_100220,20260724,77.7,13.524,10.333,0,3.562,
20260724_100505,20260724,88.7,5.15,2.663,0,3.562,
20260724_100750,20260724,103.0,10.545,6.842,0,3.562,
20260724_101034,20260724,106.7,-3.091,-3.79,1,1.256,
20260724_101319,20260724,111.0,4.661,1.507,1,3.196,
20260724_101603,20260724,115.3,7.393,2.708,2,3.562,
20260724_101848,20260724,120.0,4.428,1.056,2,3.562,
20260724_102132,20260724,129.0,5.066,1.931,2,3.562,
20260724_102429,20260724,135.7,2.129,0.384,2,3.147,
20260724_102714,20260724,141.3,1.934,0.842,3,2.853,
20260724_102958,20260724,146.7,5.283,1.038,3,3.562,
20260724_103242,20260724,152.3,7.045,2.113,3,3.562,
20260724_103526,20260724,157.0,4.209,0.714,3,3.562,
20260724_103811,20260724,159.0,1.784,-0.144,3,3.255,
20260724_104055,20260724,160.0,2.136,0.515,3,2.877,
20260724_104339,20260724,158.0,-2.552,-2.889,3,1.338,
20260724_104623,20260724,158.3,4.583,0.868,3,2.926,
20260724_104907,20260724,156.3,2.726,1.127,3,2.361,
20260724_105152,20260724,161.7,1.233,-0.477,3,2.51,
20260724_105436,20260724,162.0,1.605,-0.702,3,2.22,
20260724_105720,20260724,158.3,7.755,1.891,3,3.562,
20260724_110004,20260724,162.0,3.97,0.147,3,3.482,
20260724_110248,20260724,158.0,7.435,2.669,4,2.984,
20260724_110532,20260724,157.7,0.269,-1.45,4,2.24,
20260724_110816,20260724,159.7,3.012,0.413,3,2.66,
20260724_111100,20260724,159.0,-2.972,-2.959,4,2.147,
20260724_111344,20260724,157.7,-1.841,-1.821,4,2.24,
20260724_111644,20260724,158.0,-5.141,-5.346,4,2.24,
20260724_111928,20260724,155.7,4.05,1.209,3,2.803,
20260724_112212,20260724,155.0,-5.123,-5.337,3,1.849,
20260724_112456,20260724,156.3,2.195,-0.301,3,3.333,
20260724_112740,20260724,156.3,6.619,2.381,3,3.337,
20260724_113024,20260724,155.0,4.306,0.494,3,3.151,
20260724_113308,20260724,155.7,0.682,-1.317,3,2.077,
20260724_113552,20260724,153.3,0.881,-0.547,3,1.795,
20260724_114234,20260724,155.3,-3.381,-3.778,3,1.848,
20260724_114759,20260724,152.3,6.1,2.485,3,3.562,
20260724_115328,20260724,153.0,-0.949,-1.58,3,1.638,
20260724_115853,20260724,151.7,3.706,0.157,3,3.158,
20260724_120419,20260724,158.7,2.533,-0.783,3,2.844,
20260724_120947,20260724,156.7,3.521,0.511,3,3.562,
20260724_121513,20260724,154.3,0.471,-0.149,3,2.171,
20260724_122039,20260724,154.3,-0.597,-1.269,3,2.287,
20260724_122606,20260724,153.0,4.31,0.81,2,3.562,
20260724_123131,20260724,151.0,1.086,0.198,2,1.986,
20260724_123657,20260724,149.3,5.562,1.63,2,3.562,
20260724_124225,20260724,153.0,6.407,1.762,2,3.562,
20260724_124750,20260724,150.0,6.131,1.954,2,3.562,
20260724_125317,20260724,150.3,1.006,-0.28,2,3.245,
20260724_125845,20260724,149.3,-0.815,-1.279,2,2.236,
20260724_130412,20260724,150.0,12.826,7.524,2,3.562,
20260724_130937,20260724,150.0,4.75,1.763,2,3.562,
20260724_131504,20260724,151.0,1.573,0.451,2,2.294,
20260724_132030,20260724,147.7,7.308,3.042,1,3.562,
20260724_132556,20260724,148.3,5.019,2.02,1,3.562,
20260724_133124,20260724,145.3,6.015,2.013,1,3.562,
20260724_133652,20260724,144.3,4.093,0.661,1,3.42,
20260724_134217,20260724,145.7,7.382,2.548,1,3.562,
20260724_134746,20260724,144.7,0.465,-0.019,1,1.992,
20260724_135313,20260724,146.3,10.486,5.989,1,3.562,
20260724_135839,20260724,148.0,-4.835,-4.835,2,1.792,
20260724_140407,20260724,148.3,3.605,1.016,1,3.562,
20260724_140935,20260724,141.7,4.693,1.442,1,3.432,
20260724_141502,20260724,143.7,8.621,4.324,1,3.562,
20260724_142034,20260724,145.0,3.052,1.875,1,3.048,
20260724_142647,20260724,146.0,6.716,2.891,1,3.562,
20260724_143214,20260724,142.0,1.26,0.049,2,3.562,
20260724_143744,20260724,143.3,-5.61,-5.815,2,1.696,
20260724_144314,20260724,146.3,6.637,1.838,2,3.562,
20260724_144840,20260724,146.0,14.478,9.646,1,3.562,
20260724_145410,20260724,147.3,-2.076,-2.775,2,3.308,
20260724_145939,20260724,141.0,6.211,3.048,1,3.562,
20260724_150507,20260724,141.3,0.616,-0.431,1,2.554,
20260724_151038,20260724,145.0,5.179,2.139,1,3.562,
20260724_151606,20260724,147.0,5.354,1.776,2,3.562,
20260724_152132,20260724,150.3,5.232,1.773,2,3.562,
20260724_152702,20260724,158.0,3.839,1.503,2,3.433,
20260724_153228,20260724,159.3,6.059,1.766,2,3.562,
20260724_153758,20260724,159.7,6.517,1.49,2,3.562,
20260724_154326,20260724,160.7,5.387,1.919,2,3.562,
20260724_154850,20260724,160.7,5.113,1.294,2,3.534,
20260724_155416,20260724,164.0,2.755,0.678,2,2.552,
20260724_155943,20260724,165.7,7.676,2.434,2,3.562,
20260724_160508,20260724,169.3,6.566,2.587,2,3.562,
20260724_161033,20260724,157.0,7.87,2.026,2,3.562,
20260724_161600,20260724,155.3,7.488,3.385,2,3.562,
20260724_162126,20260724,158.3,8.716,3.562,2,3.562,
20260724_162651,20260724,162.0,10.774,4.856,2,3.562,
20260724_163219,20260724,163.3,5.182,1.206,2,3.458,
20260724_163744,20260724,165.0,4.924,0.991,2,3.562,
20260724_164309,20260724,164.7,2.393,0.77,2,2.253,
20260724_164837,20260724,169.0,8.283,2.872,2,3.562,
20260724_165402,20260724,170.7,4.736,1.612,2,3.562,
20260724_165927,20260724,172.0,-2.541,-2.678,2,1.937,
20260724_170454,20260724,169.3,7.116,2.516,2,3.562,
20260724_171019,20260724,166.3,7.538,2.627,2,3.562,
20260724_171544,20260724,168.3,4.111,1.396,2,3.489,
20260724_172111,20260724,160.3,-3.905,-3.901,2,1.388,
20260724_172719,20260724,165.3,-1.052,-1.231,2,1.76,
20260724_173244,20260724,157.0,-4.193,-4.21,2,3.562,
20260724_173812,20260724,157.3,-2.078,-2.614,2,2.439,
20260724_174337,20260724,147.3,3.018,-0.229,1,3.464,
20260724_174902,20260724,149.7,7.919,4.143,2,3.562,
20260724_175429,20260724,149.3,-1.956,-2.874,2,3.562,
20260724_175954,20260724,148.3,2.369,0.862,2,2.896,
20260724_180519,20260724,148.0,7.183,2.645,2,3.562,
20260724_181047,20260724,150.3,9.231,3.846,2,3.562,
20260724_181612,20260724,147.3,3.159,0.613,2,3.562,
20260724_182137,20260724,149.0,14.96,9.963,2,3.562,
20260724_182705,20260724,148.3,1.384,0.068,2,2.004,
20260724_183230,20260724,152.0,10.257,4.657,2,3.562,
20260724_183755,20260724,154.3,-2.709,-2.71,2,2.24,
20260724_184322,20260724,159.3,-0.227,-0.82,2,1.974,
20260724_184847,20260724,164.0,4.756,1.443,2,3.362,
20260724_185413,20260724,169.3,5.054,1.252,2,3.562,
20260724_185940,20260724,170.3,2.854,0.42,2,2.228,
20260724_190510,20260724,168.7,3.292,1.069,2,2.71,
20260724_191035,20260724,169.7,5.188,1.681,2,3.556,
20260724_191602,20260724,167.3,6.4,1.416,2,3.562,
20260724_192130,20260724,166.0,6.077,1.84,2,3.562,
20260724_192655,20260724,165.7,3.057,0.907,2,3.562,
20260724_193223,20260724,156.7,3.689,1.317,2,3.482,
20260724_193748,20260724,151.7,12.033,7.084,2,3.562,
20260724_194314,20260724,151.3,4.49,1.411,2,3.481,
20260724_194841,20260724,151.3,6.667,1.869,2,3.562,
20260724_195407,20260724,150.7,1.369,0.433,2,2.178,
20260724_195932,20260724,138.0,3.145,1.173,2,2.708,
20260724_200459,20260724,132.3,1.822,0.775,2,2.205,
20260724_201025,20260724,128.7,1.109,0.266,2,2.947,
20260724_201550,20260724,128.0,4.589,1.776,1,3.562,
20260724_202117,20260724,123.7,12.649,9.144,0,3.562,
20260724_202725,20260724,126.7,7.104,4.176,1,3.562,
20260724_203250,20260724,121.3,0.935,0.376,2,2.815,
20260724_203818,20260724,126.0,7.582,2.652,1,3.562,
20260724_204348,20260724,143.7,15.844,10.672,2,3.562,
20260724_204913,20260724,143.0,6.837,2.381,2,3.562,
20260724_205446,20260724,141.0,2.918,1.26,2,3.479,
20260724_210011,20260724,137.0,10.008,6.558,2,3.562,
20260724_210536,20260724,149.7,9.828,4.048,2,3.562,
20260724_211103,20260724,150.3,9.845,3.593,2,3.562,
20260724_211628,20260724,140.0,5.718,1.647,2,3.562,
20260724_212153,20260724,130.3,1.505,-0.17,2,2.458,
20260724_212720,20260724,126.3,-0.223,-0.394,2,1.917,
20260724_213245,20260724,125.3,6.486,2.44,2,3.562,
20260724_213810,20260724,132.3,10.689,6.109,2,3.562,
20260724_214338,20260724,138.0,8.256,2.911,2,3.562,
20260724_214903,20260724,160.0,4.222,1.3,3,3.482,
20260724_215428,20260724,167.7,5.367,1.348,3,3.562,
20260724_215955,20260724,165.0,2.914,0.305,3,2.886,
20260724_220520,20260724,157.7,5.614,1.866,2,3.562,
20260724_221046,20260724,157.7,4.76,1.737,2,3.469,
20260724_221613,20260724,155.3,5.221,1.583,2,3.562,
20260724_222138,20260724,137.7,10.415,5.427,2,3.562,
20260724_222703,20260724,131.0,-2.784,-2.986,2,2.07,
20260724_223231,20260724,130.0,-2.652,-2.644,1,1.76,
